[326, 2.3404441148401185]
[327, 3.0394141191761372]
[328, 2.0827853703164503]
[329, 1.99563519459755]
[330, 2.737987326333431]
[331, 3.0394141191761372]
[332, 2.737987326333431]
[333, 3.0394141191761372]
[334, 1.1139433523068367]
[335, 2.5622928644564746]
[336, 3.0394141191761372]
[337, 3.0394141191761372]
[338, 3.0394141191761372]
[339, 3.0394141191761372]
[340, 3.0394141191761372]
[341, 2.737987326333431]
[342, 3.0394141191761372]
[343, 3.0394141191761372]
[344, 1.1760912590556813]
[345, 1.6720978579357175]
[346, 3.0394141191761372]
[347, 2.737987326333431]
[348, 1.6901960800285136]
[349, 3.0394141191761372]
[350, 2.5622928644564746]
[351, 3.0394141191761372]
[352, 2.737987326333431]
[353, 1.0791812460476249]
[354, 2.037426497940624]
[355, 3.0394141191761372]
[356, 3.0394141191761372]
[357, 2.737987326333431]
[358, 3.0394141191761372]
[359, 0.9030899869919435]
[360, 3.0394141191761372]
[361, 3.0394141191761372]
[362, 3.0394141191761372]
[363, 2.737987326333431]
[364, 2.3404441148401185]
[365, 3.0394141191761372]
[366, 3.0394141191761372]
[367, 3.0394141191761372]
[368, 2.737987326333431]
[369, 3.0394141191761372]
[370, 2.737987326333431]
[371, 2.5622928644564746]
[372, 0.9542425094393249]
[373, 2.5622928644564746]
[374, 2.5622928644564746]
[375, 2.737987326333431]
[376, 3.0394141191761372]
[377, 3.0394141191761372]
[378, 3.0394141191761372]
[379, 1.4471580313422192]
[380, 0.9542425094393249]
[381, 1.4471580313422192]
[382, 3.0394141191761372]
[383, 2.737987326333431]
[384, 2.737987326333431]
[385, 2.5622928644564746]
[386, 3.0394141191761372]
[387, 2.737987326333431]
[388, 3.0394141191761372]
[389, 2.5622928644564746]
[390, 0.7781512503836436]
[391, 3.0394141191761372]
[392, 2.5622928644564746]
[393, 3.0394141191761372]
[394, 3.0394141191761372]
[395, 3.0394141191761372]
[396, 3.0394141191761372]
[397, 0.3010299956639812]
[398, 2.1335389083702174]
[399, 1.7323937598229686]
[400, 1.1139433523068367]
[401, 3.0394141191761372]
[402, 2.436162647040756]
[403, 2.737987326333431]
[404, 2.2600713879850747]
[405, 3.0394141191761372]
[406, 1.0413926851582251]
[407, 2.737987326333431]
[408, 3.0394141191761372]
[409, 2.5622928644564746]
[410, 1.806179973983887]
[411, 2.737987326333431]
[412, 2.5622928644564746]
[413, 2.436162647040756]
[414, 2.436162647040756]
[415, 2.737987326333431]
[416, 2.037426497940624]
[417, 3.0394141191761372]
[418, 1.3617278360175928]
[419, 3.0394141191761372]
[420, 3.0394141191761372]
[421, 2.1335389083702174]
[422, 2.737987326333431]
[423, 2.737987326333431]
[424, 1.99563519459755]
[425, 3.0394141191761372]
[426, 2.2600713879850747]
[427, 2.737987326333431]
[428, 3.0394141191761372]
[429, 0.9030899869919435]
[430, 0.47712125471966244]
[431, 3.0394141191761372]
[432, 3.0394141191761372]
[433, 3.0394141191761372]
[434, 3.0394141191761372]
[435, 3.0394141191761372]
[436, 3.0394141191761372]
[437, 2.737987326333431]
